title,report_date,detail_url,bog_pvoil
Báo cáo quỹ bình ổn giá xăng dầu ngày 12/9/2024,12/9/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1292024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 05/9/2024,05/9/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-0592024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 15/08/2024,15/08/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-15082024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 08/08/2024,08/08/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-08082024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 01/08/2024,01/08/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-01082024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 18/07/2024,18/07/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-18072024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 11/07/2024,11/07/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-11072024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 04/07/2024,04/07/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-04072024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 27/06/2024,27/06/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-27062024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 20/06/2024,20/06/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-20062024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 13/06/2024,13/06/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-13062024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 06/06/2024,06/06/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-06062024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 30/05/2024,30/05/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-30052024,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 23/05/2024,23/05/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-23052024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 16/05/2024,16/05/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-16052024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 09/05/2024,09/05/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-09052024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 02/05/2024,02/05/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-02052024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 25/04/2024,25/04/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-25042024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 17/04/2024,17/04/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-17042024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 11/04/2024,11/04/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-11042024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 04/04/2024,04/04/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-04042024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 28/03/2024,28/03/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-28032024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 22/03/2024,22/03/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-22032024,"-144,32 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 15/03/2024,15/03/2024,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-15032024,"-144,32 tỷ đồng"
