title,report_date,detail_url,bog_petrolimex
Ước tồn Quỹ BOG tại Petrolimex ngày 01.02.2025,01.02.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-01-02-2025.html,3.081 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 23.01.2025,23.01.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-23-01-2025.html,3.081 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 16.01.2025,16.01.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-16-01-2025.html,3.081 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 09.01.2025,09.01.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-09-01-2025.html,3.081 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 02.01.2025,02.01.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-02-01-2025.html,3.080 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 26.12.2024,26.12.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-26-12-2024.html,3.080 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 19.12.2024,19.12.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-19-12-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 12.12.2024,12.12.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-12-12-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 05.12.2024,05.12.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-05-12-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 28.11.2024,28.11.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-28-11-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 21.11.2024,21.11.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-21-11-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 14.11.2024,14.11.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-14-11-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 07.11.2024,07.11.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-07-11-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 31.10.2024,31.10.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-31-10-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 24.10.2024,24.10.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-17-10-2024-1729754548-144995563.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 17.10.2024,17.10.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-17-10-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 10.10.2024,10.10.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-10-10-2024.html,0.473 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 03.10.2024,03.10.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-03-10-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 26.9.2024,26.9.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-26-9-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 19.9.2024,19.9.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-19-9-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 12.9.2024,12.9.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-12-9-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 05.9.2024,05.9.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-05-9-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 29.8.2024,29.8.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-29-8-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 22.8.2024,22.8.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-22-8-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 15.8.2024,15.8.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-15-8-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 08.8.2024,08.8.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-08-8-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 01.8.2024,01.8.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-01-8-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 25.7.2024,25.7.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-25-7-2024.html,0.472 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 18.7.2024,18.7.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-18-7-2024.html,3.078 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 11.7.2024,11.7.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-11-7-2024.html,3.078 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 04.7.2024,04.7.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-04-7-2024.html,3.078 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 27.6.2024,27.6.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-27-6-2024.html,3.077 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 20.6.2024,20.6.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-20-6-2024.html,3.077 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 13.6.2024,13.6.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-13-6-2024.html,3.077 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 06.6.2024,06.6.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-06-6-2024.html,3.077 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 30.5.2024,30.5.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-30-5-2024.html,3.077 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 23.5.2024,23.5.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-23-5-2024.html,3.077 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 16.5.2024,16.5.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-16-5-2024.html,3.077 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 09.5.2024,09.5.2024,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-09-5-2024.html,3.077 tỷ đồng
