crawl_date,detail_url,title,report_date,post_date,is_parsed
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-01082024,Báo cáo quỹ bình ổn giá xăng dầu ngày 01/08/2024,01/08/2024,31.07.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-18072024,Báo cáo quỹ bình ổn giá xăng dầu ngày 18/07/2024,18/07/2024,18.07.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-11072024,Báo cáo quỹ bình ổn giá xăng dầu ngày 11/07/2024,11/07/2024,11.07.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-04072024,Báo cáo quỹ bình ổn giá xăng dầu ngày 04/07/2024,04/07/2024,04.07.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-27062024,Báo cáo quỹ bình ổn giá xăng dầu ngày 27/06/2024,27/06/2024,27.06.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-20062024,Báo cáo quỹ bình ổn giá xăng dầu ngày 20/06/2024,20/06/2024,20.06.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-13062024,Báo cáo quỹ bình ổn giá xăng dầu ngày 13/06/2024,13/06/2024,13.06.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-06062024,Báo cáo quỹ bình ổn giá xăng dầu ngày 06/06/2024,06/06/2024,06.06.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-30052024,Báo cáo quỹ bình ổn giá xăng dầu ngày 30/05/2024,30/05/2024,30.05.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-23052024,Báo cáo quỹ bình ổn giá xăng dầu ngày 23/05/2024,23/05/2024,23.05.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-16052024,Báo cáo quỹ bình ổn giá xăng dầu ngày 16/05/2024,16/05/2024,16.05.2024,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-09052024,Báo cáo quỹ bình ổn giá xăng dầu ngày 09/05/2024,09/05/2024,09.05.2024,1
